LEA_CODE,LEA_NAME,AR,AW,AP,BT,BS,D,K,PA,PS,PF,PW,R,RW,SA,SO,IM,# of acts,ADM,crime_rate,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,LEA_CODE,LEA_Name,d_Total,d_Female,d_Male,d_Asian,d_Black,d_Hispanic,d_American_Indian,d_Two-or-More-Races,d_NHPI,d_White,District_Name,Growth_AIG,All Students,Growth_American Indian,Growth_Asian,Growth_Black,Growth_ED,Growth_ELL,Growth_Hispanic,Growth_SwD,Growth_MultiRacial,Growth_White
421,Roanoke Rapids City Schools,0,0,0,0,0,0,0,2,4,0,2,0,0,0,2,0,10,2795,3.58,,,,,,,422,Weldon City Schools,7.0,3.0,4.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,Henderson County Schools,0.35600000000000004,3.6839999999999997,,0.73,0.635,2.322,0.17499999999999993,2.096,-0.6974999999999999,1.685,2.54
422,Weldon City Schools,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,799,1.25,,,,,,,430,Harnett County Schools,144.0,55.0,89.0,0.0,34.0,28.0,0.0,12.0,1.0,69.0,Hertford County Schools,0.625,-0.7199999999999999,,,-0.8633333333333332,-0.4733333333333332,,,-1.72,,-0.17499999999999993
430,Harnett County Schools,1,0,11,2,0,0,0,10,48,1,25,0,0,0,0,0,98,20097,4.88,,,,,,,440,Haywood County Schools,73.0,34.0,39.0,0.0,1.0,2.0,0.0,3.0,0.0,67.0,Hickory City Schools,-2.88,-3.42,,0.04,-2.03,-2.59,-0.14,-1.02,0.16,0.16,-2.11
440,Haywood County Schools,1,0,3,0,0,0,0,16,32,0,12,0,0,0,0,0,64,7026,9.11,,,,,,,450,Henderson County Schools,93.0,40.0,53.0,0.0,6.0,24.0,0.0,9.0,1.0,53.0,Hoke County Schools,2.675,4.300000000000002,0.64,,1.89,3.015,1.63,2.62,-1.12,0.975,2.47
450,Henderson County Schools,0,0,5,0,0,0,0,3,49,0,2,0,0,0,1,0,60,13151,4.56,,,,,,,460,Hertford County Schools,22.0,8.0,14.0,0.0,16.0,1.0,0.0,0.0,0.0,5.0,Iredell-Statesville Schools,-0.2500000000000001,-2.1125,,1.395,-1.4866666666666666,-2.295,-0.5575000000000001,-1.382,-1.83,-1.1733333333333331,-1.97
460,Hertford County Schools,0,0,3,0,0,0,0,1,4,0,3,0,0,0,0,0,11,2682,4.1,,,,,,,470,Hoke County Schools,35.0,15.0,20.0,0.0,8.0,9.0,8.0,4.0,0.0,6.0,Jackson County Schools,0.965,0.954,3.32,,,2.285,3.7,2.875,2.88,,1.6233333333333333
470,Hoke County Schools,1,0,9,0,0,0,0,1,23,1,7,0,0,0,0,0,42,8696,4.83,,,,,,,480,Hyde County Schools,4.0,1.0,3.0,0.0,1.0,0.0,0.0,5.0,0.0,2.0,Johnston County Schools,-3.361111111111111,-7.156666666666666,,-0.26,-3.47,-4.911111111111111,-1.7100000000000002,-2.5988888888888892,-4.464285714285714,-1.21,-5.817777777777778
480,Hyde County Schools,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,561,0.0,,,,,,,490,Iredell-Statesville Schools,174.0,67.0,107.0,3.0,40.0,25.0,0.0,14.0,0.0,92.0,Jones County Schools,,-1.77,,,-1.76,-1.48,,,0.84,,-0.39
490,Iredell-Statesville Schools,2,0,11,1,0,0,0,16,54,2,14,0,0,2,2,0,104,20155,5.16,,,,,,,491,Mooresville Graded School District,14.0,7.0,7.0,0.0,3.0,0.0,0.0,1.0,0.0,10.0,Kannapolis City Schools,-1.14,-8.05,,,-6.69,-7.11,-2.16,-3.98,-1.42,-0.65,-2.91
491,Mooresville Graded School District,1,0,4,1,0,0,0,12,12,1,3,0,0,1,0,0,35,5966,5.87,,,,,,,500,Jackson County Public Schools,17.0,7.0,10.0,0.0,0.0,3.0,0.0,1.0,0.0,13.0,Lee County Schools,-2.2133333333333334,-3.483333333333333,,,-1.6766666666666663,-2.9033333333333338,-1.4449999999999998,-1.64,-1.24,-1.425,-3.2433333333333336
