LEA_CODE,LEA_NAME,AR,AW,AP,BT,BS,D,K,PA,PS,PF,PW,R,RW,SA,SO,IM,# of acts,ADM,crime_rate,Growth_AIG,All Students,Growth_American Indian,Growth_Asian,Growth_Black,Growth_ED,Growth_ELL,Growth_Hispanic,Growth_SwD,Growth_MultiRacial,Growth_White
900,Union County Public Schools,0,0,35,1,0,0,0,17,154,3,69,0,0,1,1,0,281,41149,6.83,-0.17,0.03,,,-0.25,-0.776666667,,,-1.78,,-1.59
910,Vance County Schools,0,0,5,0,0,0,0,0,20,1,6,0,0,1,0,0,33,5433,6.07,,1.645,,,1.125,0.29,,,,,
920,Wake County Schools,1,0,72,1,0,0,0,58,411,5,192,0,0,16,0,0,756,159588,4.74,-2.43,0.345,,,,-0.195,,0.86,-1.27,,-0.425
930,Warren County Schools,1,0,1,0,0,0,0,0,12,0,7,0,0,0,1,0,22,1879,11.71,-1.285,-2.961428571,,,-1.982857143,-2.89,-0.563333333,-0.656666667,-1.258333333,-0.445,-1.78
940,Washington County Schools,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,1266,1.58,,-2.27,,,-1.9,-1.34,,,,,
950,Watauga County Schools,0,1,0,0,0,0,0,8,25,0,9,0,0,2,0,0,45,4549,9.89,-0.9,-0.87,,,-0.44,-0.77,,-0.59,0.06,0.59,-0.17
960,Wayne County Public Schools,0,0,7,2,0,0,0,7,29,2,26,0,0,0,0,0,73,18039,4.05,0.1,-0.058,,,-1.17,-0.402,,0.01,-1.2425,-1.95,-4.44E-17
970,Wilkes County Schools,1,0,6,0,0,0,0,25,29,0,5,0,0,1,2,0,69,8972,7.69,-0.26,2.15,,,1.33,1.29,0.015,0.89,-0.566666667,,0.8425
980,Wilson County Schools,0,1,11,2,0,0,0,0,39,5,19,0,0,0,0,0,77,11024,6.98,-1.39,-1.113333333,,,,0.113333333,0.49,1,-1.06,,-1.863333333
990,Yadkin County Schools,0,0,1,0,0,0,0,6,22,0,6,0,0,0,5,0,40,5122,7.81,,,,,,,,,,,
995,Yancey County Schools,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2105,0.48,,,,,,,,,,,
